n,gd_objective,gd_iterations,gd_runtime,gd_converged,gda_objective,gda_iterations,gda_runtime,gda_converged,gda_final_step,obj_improvement,iter_improvement,time_improvement
10,947807.4102230151,500,0.04253029823303223,False,75.15008100427896,500,0.05107402801513672,False,0.17101805384949334,99.99207116549272,0.0,-20.088572469658324
20,3739648.2767918734,1000,0.034966468811035156,False,191.49978237000195,1000,0.05357098579406738,False,0.12467501046123212,99.99487920338503,0.0,-53.20673666984863
50,122512589.43976276,1000,0.0520167350769043,False,,1000,0.08197593688964844,False,1.0161485646699267e-156,,0.0,-57.595313832078986
100,112123738.7024433,1000,0.04362797737121582,False,,1000,0.0889430046081543,False,7.289116443428296e-157,,0.0,-103.86689910322477
200,119306189.69164442,1000,0.04265236854553223,False,,1000,0.08701419830322266,False,5.207408843375426e-157,,0.0,-104.00789280982912
500,117739618.85636239,1000,0.04213738441467285,False,,1000,0.06497573852539062,False,3.323911894044351e-157,,0.0,-54.199743121134794
