n,GD_objective,GD_iterations,GD_runtime,GD_converged,GDA_objective,GDA_iterations,GDA_runtime,GDA_converged,GDA_final_step
10,6414761.619657612,1000,0.03201150894165039,False,77.58248934764968,2,8.702278137207031e-05,True,0.17101805384949334
20,34210111.34254285,1000,0.020642995834350586,False,191.55123773772405,2,7.796287536621094e-05,True,0.12467501046123212
50,26868561.017293796,1000,0.02068614959716797,False,,1000,0.05023193359375,False,1.0161485646699267e-156
100,75471389.34936607,1000,0.020647048950195312,False,,1000,0.04317498207092285,False,7.289116443428296e-157
200,124702117.28578895,1000,0.03428983688354492,False,,1000,0.12033343315124512,False,5.207408843375426e-157
500,81998666.69614768,1000,0.06494665145874023,False,,1000,0.10959076881408691,False,3.323911894044351e-157
